,lat,lon,depth,slip,rake,strike,dip,t_rup,t_ris,t_fal,mo
199,40.366524,-124.98658,24.25,0.464693,175.215454,96.0,90.0,7.488605,3.0,4.5,3.30572e+22
200,40.363045,-124.943161,24.25,12.246177,174.044495,96.0,90.0,7.021266,3.0,4.5,8.71165e+23
201,40.35957,-124.89975,24.25,18.843349,170.076752,96.0,90.0,7.622257,1.5,3.0,1.34047e+24
202,40.356094,-124.856331,24.25,20.940224,174.760208,96.0,90.0,9.013444,1.5,3.0,1.48964e+24
203,40.352615,-124.812912,24.25,12.244402,177.74913,96.0,90.0,11.534434,1.5,4.5,8.71039e+23
204,40.34914,-124.769493,24.25,2.157597,184.942902,96.0,90.0,14.743908,4.5,1.5,1.53487e+23
205,40.345661,-124.726074,24.25,0.885715,197.943207,96.0,90.0,18.614723,3.0,1.5,6.30078e+22
206,40.342186,-124.682655,24.25,3.83114,199.087769,96.0,90.0,22.129078,4.5,1.5,2.72538e+23
207,40.338711,-124.639236,24.25,38.901237,205.050644,96.0,90.0,25.075117,3.0,3.0,2.76734e+24
208,40.335232,-124.595818,24.25,53.970497,208.273529,96.0,90.0,27.244768,3.0,1.5,3.83934e+24
209,40.331757,-124.552406,24.25,50.55048,204.873795,96.0,90.0,28.032402,1.5,1.5,3.59605e+24
210,40.328278,-124.508987,24.25,33.875473,206.36702,96.0,90.0,28.234001,1.5,1.5,2.40982e+24
211,40.324802,-124.465569,24.25,22.466373,209.48024,96.0,90.0,28.046637,3.0,4.5,1.59821e+24
212,40.321327,-124.42215,24.25,2.382389,190.058029,96.0,90.0,27.86813,3.0,1.5,1.69478e+23
213,40.317848,-124.378731,24.25,1.712003,209.445969,96.0,90.0,27.896833,1.5,4.5,1.21788e+23
214,40.314373,-124.335312,24.25,0.4948,197.289749,96.0,90.0,28.131474,4.5,1.5,3.51989e+22
215,40.310894,-124.291893,24.25,4.229379,172.54274,96.0,90.0,28.971064,3.0,1.5,3.00868e+23
216,40.390862,-125.290504,27.1,0.418756,199.00267,96.0,90.0,19.201321,1.5,4.5,2.97894e+22
217,40.387383,-125.247093,27.1,0.208344,208.510468,96.0,90.0,17.67111,3.0,3.0,1.48211e+22
218,40.383907,-125.203674,27.1,0.68396,170.361633,96.0,90.0,15.641916,3.0,1.5,4.86553e+22
219,40.380432,-125.160255,27.1,0.71394,200.268204,96.0,90.0,13.552092,1.5,3.0,5.0788e+22
220,40.376953,-125.116837,27.1,11.209262,207.536606,96.0,90.0,12.051729,1.5,3.0,7.97401e+23
221,40.373478,-125.073418,27.1,11.201171,208.87294,96.0,90.0,10.597947,3.0,1.5,7.96826e+23
